IATA,AIRPORT,CITY,STATE,LATITUDE,,,,,,Y-coordinate,LONGITUDE,,,,,,X-coordinate
LAS,McCarran International,Las Vegas,NV,36.08036111,-37.61900194,-1.53864083,-4.9656,7.640274905,465,472.6402749,-115.1523333,122.3748433,7.22251,5.7618,41.61465812,320,361.6146581
LAX,Los Angeles International,Los Angeles,CA,33.94253611,-37.61900194,-3.67646583,-4.9656,18.25585873,465,483.2558587,-118.4080744,122.3748433,3.9667689,5.7618,22.85572905,320,342.855729
LGA,LaGuardia,New York,NY,40.77724306,-37.61900194,3.15824112,-4.9656,-15.68256211,465,449.3174379,-73.87260917,122.3748433,48.50223413,5.7618,279.4601726,320,599.4601726
LIT,Adams ,Little Rock,AR,34.72939611,-37.61900194,-2.88960583,-4.9656,14.34862671,465,479.3486267,-92.22424556,122.3748433,30.15059774,5.7618,173.7217141,320,493.7217141
MCI,Kansas City International,Kansas City,MO,39.29760528,-37.61900194,1.67860334,-4.9656,-8.335272745,465,456.6647273,-94.71390556,122.3748433,27.66093774,5.7618,159.3767911,320,479.3767911
MCO,Orlando International,Orlando,FL,28.42888889,-37.61900194,-9.19011305,-4.9656,45.63442536,465,510.6344254,-81.31602778,122.3748433,41.05881552,5.7618,236.5726833,320,556.5726833
MDW,Chicago Midway,Chicago,IL,41.7859825,-37.61900194,4.16698056,-4.9656,-20.69155867,465,444.3084413,-87.75242444,122.3748433,34.62241886,5.7618,199.487453,320,519.487453
MEM,Memphis International,Memphis,TN,35.04241667,-37.61900194,-2.57658527,-4.9656,12.79429182,465,477.7942918,-89.97666667,122.3748433,32.39817663,5.7618,186.6718141,320,506.6718141
MIA,Miami International,Miami,FL,25.79325,-37.61900194,-11.82575194,-4.9656,58.72195383,465,523.7219538,-80.29055556,122.3748433,42.08428774,5.7618,242.4812491,320,562.4812491
MKE,General Mitchell International,Milwaukee,WI,42.94722222,-37.61900194,5.32822028,-4.9656,-26.45781062,465,438.5421894,-87.89658333,122.3748433,34.47825997,5.7618,198.6568383,320,518.6568383
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-37.61900194,7.261545,-4.9656,-36.05792785,465,428.9420721,-93.2169225,122.3748433,29.1579208,5.7618,168.0021081,320,488.0021081
MSY,New Orleans International ,New Orleans,LA,29.99338889,-37.61900194,-7.62561305,-4.9656,37.86574416,465,502.8657442,-90.25802778,122.3748433,32.11681552,5.7618,185.0506677,320,505.0506677
OAK,Metropolitan Oakland International,Oakland,CA,37.72129083,-37.61900194,0.10228889,-4.9656,-0.507925712,465,464.4920743,-122.2207167,122.3748433,0.1541266,5.7618,0.888046644,320,320.8880466
OGG,Kahului,Kahului,HI,20.89864972,-37.61900194,-16.72035222,-4.9656,80.02658098,465,590.026581,-156.4304578,122.3748433,-34.0556145,5.7618,-196.2216396,320,149.7783604
